Year,StateAbbr,StateDesc,CityName,Category,Measure,Data_Value,,PopulationCount,GeoLocation,CityName,,,MH,,
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,25.3,253,5906,"(42.2899199207, -71.1713259737)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,9.2,92,AE
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,14.2,142,1181,"(42.359344207, -71.0639956129)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,9.3,93,AL
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,15.1,151,2357,"(42.3491099854, -71.0424509841)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,9.3,93,AL
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,26.5,265,4419,"(42.2791296544, -71.1507098379)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,9.3,93,AL
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,34.7,347,2969,"(42.2959948088, -71.1404447508)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,9.4,94,EO
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,15.7,157,2335,"(42.3191097097, -71.1088406629)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,9.5,95,EX
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,21.2,212,2014,"(42.3242557394, -71.1112109874)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,9.6,96,EY
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,16.4,164,1954,"(42.3669461849, -71.0561502076)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,9.7,97,AN
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,18.6,186,2444,"(42.3834686048, -71.0698578276)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,9.7,97,AN
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,23.8,238,3909,"(42.3484105586, -71.0703570363)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,9.7,97,AN
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,17.3,173,3240,"(42.3396147883, -71.0563203202)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,9.9,99,BT
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,14.7,147,3649,"(42.3603354129, -71.068633385)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,10.1,101,AJ
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,16.2,162,3571,"(42.3368684838, -71.0382133093)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,10.1,101,AJ
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,22.2,222,4904,"(42.3323987525, -71.0428981298)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,10.2,102,BM
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,20.7,207,5902,"(42.3525199084, -71.0572449419)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,10.2,102,BM
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,27.6,276,4506,"(42.2873319598, -71.1570117019)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,10.2,102,BM
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,30.8,308,2901,"(42.2685020274, -71.156968693)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,10.2,102,BM
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,10.7,107,1426,"(42.3431682275, -71.0958460853)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,10.3,103,AB
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,20.7,207,3216,"(42.3347618576, -71.0279301448)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,10.3,103,AB
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,22.5,225,5751,"(42.3139016525, -71.1116653761)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,10.3,103,AB
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,21.8,218,3400,"(42.3659888899, -71.0634636132)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,10.4,104,AM
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,16.4,164,389,"(42.3634527123, -71.0122398933)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,10.4,104,AM
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,28,280,5077,"(42.2902868451, -71.1346397855)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,10.5,105,EP
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,16.4,164,1665,"(42.3645207748, -71.0569749974)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,10.6,106,AO
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,22.9,229,2361,"(42.3458875797, -71.0761483819)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,10.6,106,AO
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,19.5,195,2095,"(42.3056862968, -71.1173049372)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,10.6,106,AO
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,15.6,156,2451,"(42.3644366771, -71.0541677951)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,10.8,108,AQ
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,28.4,284,5546,"(42.2779028986, -71.0605610392)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,10.8,108,AQ
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,8.9,89,207,"(42.3429238145, -71.0286195858)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.0,110,FQ
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,19.6,196,3142,"(42.3466269585, -71.1672625179)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.1,111,G
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,23.7,237,5460,"(42.3419361322, -71.0718233569)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.1,111,G
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,13.2,132,4801,"(42.3500028821, -71.1334044612)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.2,112,Q
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,26.7,267,4872,"(42.3601705854, -71.0536276966)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.2,112,Q
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,29.6,296,4637,"(42.272766189, -71.1694026267)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.3,113,FC
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,14.4,144,2211,"(42.339635984, -71.1500991889)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.4,114,K
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,20.5,205,3706,"(42.3411487325, -71.0809849713)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.4,114,K
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,23.2,232,5672,"(42.3438494917, -71.1492928672)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.5,115,H
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,17,170,3854,"(42.3540662232, -71.1611676235)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.6,116,D
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,19.9,199,3571,"(42.3517439571, -71.147444287)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.6,116,D
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,19.8,198,3882,"(42.3787346629, -71.0633840838)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.6,116,D
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,19.5,195,1916,"(42.3325583738, -71.0326798022)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.6,116,D
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,17.4,174,3964,"(42.3354034092, -71.0514926353)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.6,116,D
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,26.4,264,1904,"(42.2911648539, -71.0433454845)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.6,116,D
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,26.5,265,4322,"(42.2823438877, -71.0486431631)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.6,116,D
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,22.7,227,4795,"(42.3126415637, -71.1019312823)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.6,116,D
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,21.2,212,2740,"(42.3541442616, -71.1688264959)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.8,118,F
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,26.7,267,3806,"(42.2829171907, -71.1326049312)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,11.8,118,F
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,16.4,164,3648,"(42.344174231, -71.1588286804)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.1,121,I
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,13.4,134,4804,"(42.3491638983, -71.0933199695)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.1,121,I
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,18.9,189,3044,"(42.3446951466, -71.0841679792)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.1,121,I
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,27.5,275,3253,"(42.2821619171, -71.1414487019)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.1,121,I
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,30.8,308,2531,"(42.2577217313, -71.1284205708)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.1,121,I
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,20.1,201,4985,"(42.3414718489, -71.1438262063)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.2,122,L
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,13.2,132,4446,"(42.3469580656, -71.1379846918)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.2,122,L
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,22.7,227,3076,"(42.3334669511, -71.0369483424)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.2,122,L
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,26.2,262,2742,"(42.3093602419, -71.0505762555)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.2,122,L
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,21,210,2331,"(42.3206587069, -71.1042024464)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.2,122,L
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,26.9,269,4091,"(42.3283905771, -71.1074807597)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.3,123,CN
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,29,290,3675,"(42.2679970729, -71.1251893266)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.3,123,CN
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,20.8,208,3003,"(42.3450749931, -71.0880610223)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.4,124,Y
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,24.9,249,3753,"(42.3359561416, -71.0727568883)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.4,124,Y
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,29.7,297,3349,"(42.295023151, -71.0661697011)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.4,124,Y
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,30.9,309,4401,"(42.245747915, -71.1379777407)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.4,124,Y
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,28.6,286,2072,"(42.2371007532, -71.1299497302)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.4,124,Y
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,31.3,313,5600,"(42.2490711563, -71.1173635008)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.6,126,FK
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,23.9,239,4861,"(42.3156410437, -71.0555949012)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.7,127,DF
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,28,280,2405,"(42.286805209, -71.1132774688)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.7,127,DF
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,21.6,216,3885,"(42.3526051342, -71.1543441945)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.8,128,E
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,27.4,274,3566,"(42.286433334, -71.1225529301)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.9,129,EK
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,29.9,299,4309,"(42.277913794, -71.1265658254)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,12.9,129,EK
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,22.7,227,3439,"(42.305157024, -71.1083674637)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,13.0,130,ET
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,15.8,158,5569,"(42.3447837738, -71.0972291191)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,13.3,133,V
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,25.5,255,2439,"(42.3739280516, -71.0657981901)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,13.3,133,V
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,30.2,302,617594,"(42.3155796777, -71.0916505804)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,13.4,134,A
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,37.4,374,7650,"(42.2693174734, -71.110981442)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,13.4,134,A
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,31.4,314,3003,"(42.3277602393, -71.0937549506)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,13.5,135,CQ
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,28.2,282,5154,"(42.2908490702, -71.0562792883)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,13.5,135,CQ
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,26.5,265,3900,"(42.3790535534, -71.0520713919)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,13.6,136,AX
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,26,260,3329,"(42.33842826, -71.0781590586)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,13.6,136,AX
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,25.1,251,617594,"(42.3155796777, -71.0916505804)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,13.7,137,B
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,20.3,203,4254,"(42.3614845374, -71.1385871477)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,13.7,137,B
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,25.1,251,5460,"(42.2961825927, -71.1157385459)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,13.7,137,B
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,11.8,118,6303,"(42.3363184842, -71.1589684157)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,13.8,138,J
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,16.6,166,4008,"(42.3323458927, -71.1016908302)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,13.8,138,J
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,33.8,338,4072,"(42.2737939013, -71.074630363)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,13.8,138,J
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,15.7,157,8136,"(42.3568717873, -71.1297575887)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,14.0,140,R
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,27.8,278,4275,"(42.3241310483, -71.0600286096)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,14.1,141,DC
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,23.6,236,3974,"(42.3492513798, -71.14245683)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,14.3,143,N
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,28.1,281,4089,"(42.3872518817, -71.0157245895)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,14.3,143,N
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,43.5,435,1723,"(42.3453809464, -71.0647064913)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,14.3,143,N
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,32.3,323,5107,"(42.2600600539, -71.151245271)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,14.3,143,N
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,11.3,113,2791,"(42.3513290328, -71.128215847)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,14.4,144,P
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,18.4,184,3730,"(42.3164851574, -71.0411574614)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,14.4,144,P
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,36.8,368,6382,"(42.2588140725, -71.118815948)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,14.4,144,P
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,32.2,322,2051,"(42.2804960917, -71.1170508363)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,14.5,145,EI
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,35,350,2134,"(42.3207186814, -71.0929140339)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,14.6,146,CR
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,33.9,339,1901,"(42.2749378282, -71.1366738674)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,14.6,146,CR
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,24.4,244,2379,"(42.3633060934, -71.0339243885)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,14.8,148,BI
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,27.5,275,3234,"(42.3163259082, -71.0622197577)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,14.8,148,BI
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,36.8,368,4865,"(42.281787026, -71.0708445892)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,14.9,149,DW
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,10,100,3173,"(42.3462887243, -71.1033879487)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,15.0,150,W
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,9.2,92,6584,"(42.3594777688, -71.1212627964)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,15.1,151,S
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,28.5,285,6093,"(42.3856391623, -71.0040256669)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,15.2,152,BH
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,25,250,2372,"(42.3682184204, -71.0379018576)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,15.3,153,BB
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,31,310,3131,"(42.3398063002, -71.0670729048)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,15.5,155,CE
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,29.1,291,1606,"(42.3768528913, -71.0567930644)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,15.8,158,AT
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,22.4,224,4165,"(42.3823724683, -71.029797927)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,15.8,158,AT
2015,MA,Massachusetts,Boston,Health Outcomes,High blood pressure among adults aged >=18 Years,34.2,342,5989,"(42.2882344188, -71.0707473)",Boston,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,15.8,158,AT
