Year,StateAbbr,StateDesc,CityName,Category,Measure,Data_Value,PopulationCount,343,Datavalue,MH
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,28.4,3271,Mental health not good for >=14 days among adults aged >=18 Years,8.2,N
2015,CA,California,Alameda,Health Outcomes,High blood pressure among adults aged >=18 Years,19.9,4119,Mental health not good for >=14 days among adults aged >=18 Years,11.2,O
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,26.4,83089,Mental health not good for >=14 days among adults aged >=18 Years,10.1,I
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,27.7,83089,Mental health not good for >=14 days among adults aged >=18 Years,10,P
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,27,4255,Mental health not good for >=14 days among adults aged >=18 Years,9.6,F
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,24.3,3858,Mental health not good for >=14 days among adults aged >=18 Years,10.8,Q
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,28.1,4098,Mental health not good for >=14 days among adults aged >=18 Years,10.7,R
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,26.7,5654,Mental health not good for >=14 days among adults aged >=18 Years,8.5,S
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,29.2,3279,Mental health not good for >=14 days among adults aged >=18 Years,10.6,T
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,27.8,3464,Mental health not good for >=14 days among adults aged >=18 Years,11,U
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,23.7,4998,Mental health not good for >=14 days among adults aged >=18 Years,9.7,V
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,24.5,4686,Mental health not good for >=14 days among adults aged >=18 Years,10.2,W
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,26,4218,Mental health not good for >=14 days among adults aged >=18 Years,11.4,X
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,31.7,3206,Mental health not good for >=14 days among adults aged >=18 Years,11.1,Y
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,30.2,3842,Mental health not good for >=14 days among adults aged >=18 Years,9.6,F
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,25.6,5447,Mental health not good for >=14 days among adults aged >=18 Years,9.9,J
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,33.5,4361,Mental health not good for >=14 days among adults aged >=18 Years,9.2,Z
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,27.7,3802,Mental health not good for >=14 days among adults aged >=18 Years,10.2,W
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,26.9,3942,Mental health not good for >=14 days among adults aged >=18 Years,10.5,AA
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,29.3,3387,Mental health not good for >=14 days among adults aged >=18 Years,11.5,AB
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,28.9,4871,Mental health not good for >=14 days among adults aged >=18 Years,10.4,D
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,31.7,2596,Mental health not good for >=14 days among adults aged >=18 Years,8.5,S
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,27.6,5770,Mental health not good for >=14 days among adults aged >=18 Years,9.4,B
2015,CA,California,Alhambra,Health Outcomes,High blood pressure among adults aged >=18 Years,27.5,3355,Mental health not good for >=14 days among adults aged >=18 Years,9.4,B
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,27.2,336265,Mental health not good for >=14 days among adults aged >=18 Years,12.4,AC
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,25.2,336265,Mental health not good for >=14 days among adults aged >=18 Years,12.7,AD
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,27.4,1940,Mental health not good for >=14 days among adults aged >=18 Years,13.9,AE
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,15.5,499,Mental health not good for >=14 days among adults aged >=18 Years,11.4,X
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,22.5,1956,Mental health not good for >=14 days among adults aged >=18 Years,19.8,AF
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,34.1,1756,Mental health not good for >=14 days among adults aged >=18 Years,10.1,I
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,23.5,4131,Mental health not good for >=14 days among adults aged >=18 Years,11,U
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,21.9,5475,Mental health not good for >=14 days among adults aged >=18 Years,10,P
,,,,,,,,,,
,,,,,,,,,,
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,26,4034,Mental health not good for >=14 days among adults aged >=18 Years,10.5,AA
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,25.9,5485,Mental health not good for >=14 days among adults aged >=18 Years,9.5,A
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,29.4,3862,Mental health not good for >=14 days among adults aged >=18 Years,8.3,AG
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,29.2,3529,Mental health not good for >=14 days among adults aged >=18 Years,8,AH
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,27.9,2662,Mental health not good for >=14 days among adults aged >=18 Years,9.1,AI
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,27.5,5219,Mental health not good for >=14 days among adults aged >=18 Years,8.4,AJ
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,24.8,4496,Mental health not good for >=14 days among adults aged >=18 Years,8.9,AK
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,23.8,4834,Mental health not good for >=14 days among adults aged >=18 Years,10.1,I
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,21.5,6421,Mental health not good for >=14 days among adults aged >=18 Years,8.4,AJ
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,21.2,4135,Mental health not good for >=14 days among adults aged >=18 Years,8.5,S
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,28.5,378,Mental health not good for >=14 days among adults aged >=18 Years,9.5,A
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,13.4,1648,Mental health not good for >=14 days among adults aged >=18 Years,11.5,AB
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,25,1039,Mental health not good for >=14 days among adults aged >=18 Years,14.7,AL
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,21.1,1530,Mental health not good for >=14 days among adults aged >=18 Years,11.4,X
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,26.1,7474,Mental health not good for >=14 days among adults aged >=18 Years,13.2,AM
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,21.9,6212,Mental health not good for >=14 days among adults aged >=18 Years,10.9,AN
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,25.1,4847,Mental health not good for >=14 days among adults aged >=18 Years,12.7,AD
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,27,4006,Mental health not good for >=14 days among adults aged >=18 Years,10.4,D
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,24.3,3658,Mental health not good for >=14 days among adults aged >=18 Years,11.8,AO
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,24.6,5651,Mental health not good for >=14 days among adults aged >=18 Years,13.1,AP
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,25.1,6546,Mental health not good for >=14 days among adults aged >=18 Years,14.6,AQ
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,25.3,6578,Mental health not good for >=14 days among adults aged >=18 Years,16.5,AR
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,22.8,4330,Mental health not good for >=14 days among adults aged >=18 Years,12.7,AD
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,22.6,6488,Mental health not good for >=14 days among adults aged >=18 Years,12.7,AD
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,24.8,4848,Mental health not good for >=14 days among adults aged >=18 Years,15.7,AS
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,24.5,6551,Mental health not good for >=14 days among adults aged >=18 Years,18.1,AT
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,25.9,9584,Mental health not good for >=14 days among adults aged >=18 Years,16.2,AU
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,25.1,6131,Mental health not good for >=14 days among adults aged >=18 Years,13.6,AV
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,25.7,8735,Mental health not good for >=14 days among adults aged >=18 Years,11.4,X
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,23.9,7094,Mental health not good for >=14 days among adults aged >=18 Years,14.8,AW
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,25.2,1372,Mental health not good for >=14 days among adults aged >=18 Years,11.1,Y
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,25.7,5913,Mental health not good for >=14 days among adults aged >=18 Years,13.3,AX
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,27.3,6366,Mental health not good for >=14 days among adults aged >=18 Years,11.9,AY
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,27.2,8725,Mental health not good for >=14 days among adults aged >=18 Years,13.4,E
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,31.8,5614,Mental health not good for >=14 days among adults aged >=18 Years,11.7,AZ
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,24.1,6861,Mental health not good for >=14 days among adults aged >=18 Years,12.6,BA
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,27.2,5537,Mental health not good for >=14 days among adults aged >=18 Years,14.1,BB
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,26.3,6922,Mental health not good for >=14 days among adults aged >=18 Years,12.3,BC
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,22,4160,Mental health not good for >=14 days among adults aged >=18 Years,11.2,O
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,21.9,5816,Mental health not good for >=14 days among adults aged >=18 Years,13.7,BD
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,25.4,8470,Mental health not good for >=14 days among adults aged >=18 Years,11.5,AB
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,26.8,4635,Mental health not good for >=14 days among adults aged >=18 Years,11.3,BE
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,28.2,5097,Mental health not good for >=14 days among adults aged >=18 Years,13.1,AP
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,27.4,7643,Mental health not good for >=14 days among adults aged >=18 Years,13.5,BF
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,21.9,10413,Mental health not good for >=14 days among adults aged >=18 Years,13.9,AE
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,21.1,3954,Mental health not good for >=14 days among adults aged >=18 Years,11.3,BE
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,24.7,3186,Mental health not good for >=14 days among adults aged >=18 Years,17.2,BG
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,24.8,3591,Mental health not good for >=14 days among adults aged >=18 Years,17.7,BH
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,25.5,5912,Mental health not good for >=14 days among adults aged >=18 Years,18.1,AT
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,23.3,6326,Mental health not good for >=14 days among adults aged >=18 Years,14.3,BI
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,23.9,7141,Mental health not good for >=14 days among adults aged >=18 Years,17,BJ
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,25.1,5222,Mental health not good for >=14 days among adults aged >=18 Years,14.5,BK
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,26.8,4808,Mental health not good for >=14 days among adults aged >=18 Years,14,BL
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,27.7,7424,Mental health not good for >=14 days among adults aged >=18 Years,13.5,BF
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,29.9,3589,Mental health not good for >=14 days among adults aged >=18 Years,12.4,AC
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,28.1,578,Mental health not good for >=14 days among adults aged >=18 Years,13.3,AX
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,25,5061,Mental health not good for >=14 days among adults aged >=18 Years,11,U
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,28.9,1337,Mental health not good for >=14 days among adults aged >=18 Years,12.9,BM
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,29.4,1227,Mental health not good for >=14 days among adults aged >=18 Years,13.2,AM
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,24.4,1407,Mental health not good for >=14 days among adults aged >=18 Years,17.5,BN
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,25.4,2147,Mental health not good for >=14 days among adults aged >=18 Years,14.9,BO
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,26.6,1727,Mental health not good for >=14 days among adults aged >=18 Years,15,BP
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,27.1,1238,Mental health not good for >=14 days among adults aged >=18 Years,10.8,Q
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,19,805,Mental health not good for >=14 days among adults aged >=18 Years,15.3,BQ
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,23.6,3414,Mental health not good for >=14 days among adults aged >=18 Years,12.5,BR
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,40.1,758,Mental health not good for >=14 days among adults aged >=18 Years,8.2,N
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,21.9,3886,Mental health not good for >=14 days among adults aged >=18 Years,12.2,BS
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,24.1,2292,Mental health not good for >=14 days among adults aged >=18 Years,10.9,AN
2015,CA,California,Anaheim,Health Outcomes,High blood pressure among adults aged >=18 Years,24.3,1893,Mental health not good for >=14 days among adults aged >=18 Years,13.2,AM
,,,,,,,,,,
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,28.5,102372,Mental health not good for >=14 days among adults aged >=18 Years,12.8,BT
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,27.5,102372,Mental health not good for >=14 days among adults aged >=18 Years,13.1,AP
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,25.1,5641,Mental health not good for >=14 days among adults aged >=18 Years,12.4,AC
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,23.8,5950,Mental health not good for >=14 days among adults aged >=18 Years,11.2,O
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,28.3,6620,Mental health not good for >=14 days among adults aged >=18 Years,16.6,BU
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,30.1,2378,Mental health not good for >=14 days among adults aged >=18 Years,12.4,AC
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,29.9,4881,Mental health not good for >=14 days among adults aged >=18 Years,14.1,BB
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,29.6,3173,Mental health not good for >=14 days among adults aged >=18 Years,14.1,BB
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,31,4166,Mental health not good for >=14 days among adults aged >=18 Years,12.6,BA
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,31,5038,Mental health not good for >=14 days among adults aged >=18 Years,18.2,BV
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,28.6,3467,Mental health not good for >=14 days among adults aged >=18 Years,15,BP
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,27.9,3933,Mental health not good for >=14 days among adults aged >=18 Years,18.7,BW
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,29.3,4300,Mental health not good for >=14 days among adults aged >=18 Years,13.4,E
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,27.2,6595,Mental health not good for >=14 days among adults aged >=18 Years,13.8,BX
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,30.2,7229,Mental health not good for >=14 days among adults aged >=18 Years,14,BL
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,24.7,4194,Mental health not good for >=14 days among adults aged >=18 Years,11,U
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,21.6,498,Mental health not good for >=14 days among adults aged >=18 Years,11.3,BE
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,25.7,4517,Mental health not good for >=14 days among adults aged >=18 Years,11.3,BE
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,25.8,12836,Mental health not good for >=14 days among adults aged >=18 Years,10.6,T
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,29.6,6416,Mental health not good for >=14 days among adults aged >=18 Years,12.2,BS
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,23.9,4197,Mental health not good for >=14 days among adults aged >=18 Years,11.6,BY
2015,CA,California,Antioch,Health Outcomes,High blood pressure among adults aged >=18 Years,24.1,6343,Mental health not good for >=14 days among adults aged >=18 Years,11.1,Y
2015,CA,California,Apple Valley,Health Outcomes,High blood pressure among adults aged >=18 Years,30.8,69135,Mental health not good for >=14 days among adults aged >=18 Years,13.9,AE
2015,CA,California,Apple Valley,Health Outcomes,High blood pressure among adults aged >=18 Years,34.2,69135,Mental health not good for >=14 days among adults aged >=18 Years,13.5,BF
2015,CA,California,Apple Valley,Health Outcomes,High blood pressure among adults aged >=18 Years,45.7,5341,Mental health not good for >=14 days among adults aged >=18 Years,9.6,F
2015,CA,California,Apple Valley,Health Outcomes,High blood pressure among adults aged >=18 Years,43.2,356,Mental health not good for >=14 days among adults aged >=18 Years,15.4,BZ
2015,CA,California,Apple Valley,Health Outcomes,High blood pressure among adults aged >=18 Years,32,6356,Mental health not good for >=14 days among adults aged >=18 Years,15.4,BZ
2015,CA,California,Apple Valley,Health Outcomes,High blood pressure among adults aged >=18 Years,31.7,7120,Mental health not good for >=14 days among adults aged >=18 Years,16.8,CA
2015,CA,California,Apple Valley,Health Outcomes,High blood pressure among adults aged >=18 Years,33.4,9401,Mental health not good for >=14 days among adults aged >=18 Years,11.3,BE
2015,CA,California,Apple Valley,Health Outcomes,High blood pressure among adults aged >=18 Years,34.1,5837,Mental health not good for >=14 days among adults aged >=18 Years,17,BJ
2015,CA,California,Apple Valley,Health Outcomes,High blood pressure among adults aged >=18 Years,29.9,7063,Mental health not good for >=14 days among adults aged >=18 Years,13.6,AV
2015,CA,California,Apple Valley,Health Outcomes,High blood pressure among adults aged >=18 Years,33.3,3606,Mental health not good for >=14 days among adults aged >=18 Years,14.1,BB
2015,CA,California,Apple Valley,Health Outcomes,High blood pressure among adults aged >=18 Years,34.4,8260,Mental health not good for >=14 days among adults aged >=18 Years,11.6,BY
2015,CA,California,Apple Valley,Health Outcomes,High blood pressure among adults aged >=18 Years,34.7,6974,Mental health not good for >=14 days among adults aged >=18 Years,16.9,CB
2015,CA,California,Apple Valley,Health Outcomes,High blood pressure among adults aged >=18 Years,31.3,4018,Mental health not good for >=14 days among adults aged >=18 Years,11.3,BE
2015,CA,California,Apple Valley,Health Outcomes,High blood pressure among adults aged >=18 Years,34,4771,Mental health not good for >=14 days among adults aged >=18 Years,11.8,AO
,,,,,,,,,,
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,27.6,347483,Mental health not good for >=14 days among adults aged >=18 Years,13.4,E
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,25.4,347483,Mental health not good for >=14 days among adults aged >=18 Years,13.8,BX
,,,,,,,,,,
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,20.4,2858,Mental health not good for >=14 days among adults aged >=18 Years,11.5,AB
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,25.9,1946,Mental health not good for >=14 days among adults aged >=18 Years,11.2,O
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,19,2713,Mental health not good for >=14 days among adults aged >=18 Years,11.2,O
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,24.2,2963,Mental health not good for >=14 days among adults aged >=18 Years,11.2,O
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,31.4,6931,Mental health not good for >=14 days among adults aged >=18 Years,19.2,CC
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,25.8,2026,Mental health not good for >=14 days among adults aged >=18 Years,13,CD
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,27.3,4925,Mental health not good for >=14 days among adults aged >=18 Years,13.1,AP
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,28.3,3340,Mental health not good for >=14 days among adults aged >=18 Years,12.4,AC
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,30.8,3653,Mental health not good for >=14 days among adults aged >=18 Years,13.5,BF
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,27.7,1014,Mental health not good for >=14 days among adults aged >=18 Years,12.6,BA
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,26.9,707,Mental health not good for >=14 days among adults aged >=18 Years,13.7,BD
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,22.9,575,Mental health not good for >=14 days among adults aged >=18 Years,14.9,BO
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,25.4,5493,Mental health not good for >=14 days among adults aged >=18 Years,12.4,AC
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,30.1,811,Mental health not good for >=14 days among adults aged >=18 Years,9.3,H
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,24.8,8814,Mental health not good for >=14 days among adults aged >=18 Years,12.4,AC
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,25,878,Mental health not good for >=14 days among adults aged >=18 Years,16.2,AU
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,31.8,176,Mental health not good for >=14 days among adults aged >=18 Years,18.9,CE
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,26,1746,Mental health not good for >=14 days among adults aged >=18 Years,21.7,CF
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,27,5147,Mental health not good for >=14 days among adults aged >=18 Years,20.4,CG
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,35.9,1976,Mental health not good for >=14 days among adults aged >=18 Years,19.7,CH
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,33.9,2862,Mental health not good for >=14 days among adults aged >=18 Years,20.2,CI
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,34.6,1390,Mental health not good for >=14 days among adults aged >=18 Years,16,CJ
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,26.5,4287,Mental health not good for >=14 days among adults aged >=18 Years,13,CD
2015,CA,California,Bakersfield,Health Outcomes,High blood pressure among adults aged >=18 Years,29.9,5579,Mental health not good for >=14 days among adults aged >=18 Years,14.9,BO
